,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
1,기획예산과,강동영,2022-02-04 11:51,정선할매,2022년 사업체조사 업무추진 관계자 간담회비 지급(2. 4. 1조),4명(업무담당 외 3명),제로페이,시책,48000
2,기획예산과,이준우,2022-02-25 12:41,행복나무 F&B,상반기 특별교부금 예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,90000
3,기획예산과,박지영,2022-02-07 12:23,최부자,공약사업 추진 평가 관련 관계자 간담회비 지급,공약사업 추진 평가 관계자 4명,카드,시책,50000
4,기획예산과,최영주,2022-02-09 19:19,오이삐,구정 주요업무 추진 관련 관계자 간담회비 지급,구정 주요업무 추진 관계자 4명,카드,시책,59000
5,기획예산과,조효빈,2022-02-10 11:44,이부장 스시,제안제도 활성화 관련 간담회비 지급(2. 10.),제안업무 담당자 등 3명,제로페이,시책,54000
6,기획예산과,이연국,2022-02-10 19:48,누구나홀딱반한닭,외부기관 평가 추진 관계자 간담회비 지급,외부기관 평가 추진 관계자 4명,카드,시책,71800
7,기획예산과,최두철,2022-02-11 12:09,칡산에 황제보쌈,지역 현안사업 예산확보 관련 관계자 간담회비 지급,현안사업 추진 관계자 등 4명,카드,시책,72000
8,기획예산과,지연주,2022-02-14 11:44,광동상사(은평),지방정책 추진관련 업무협의를 위한 음료 구입비용 지급,지방정책 추진 업무협의 관계자 등,카드,시책,90000
9,기획예산과,주창현,2022-02-15 12:04,보리네 생고깃간,지역사회와 메타버스의 연계방안 연구 관계자 간담회비 지급,정책연구단 직원 및 관계자 등 4명,제로페이,시책,38000
10,기획예산과,김효미,2022-02-15 18:18,최부자,제289회 은평구의회 임시회 관련 관계자 간담회비 지급,관계자 5명(담당공무원 및 업무추진관계자),카드,시책,112000
11,기획예산과,홍승표,2022-02-16 12:37,뽕잎냉면 샤브샤브 칼국수,기금운용 제도 개선 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 5명",제로페이,시책,84000
12,기획예산과,문지선,2022-02-17 12:29,소담,은평혁신 실행계획 수립 관련 간담회비 지급,은평혁신 실행계획 수립 업무 관계자 6명,제로페이,시책,113000
13,기획예산과,민경인,2022-02-18 12:29,설악추어탕한모둠순대국,2021회계연도 시설관리공단 결산 관련 간담회 경비 지급,관계공무원 및 시설관리공단 임직원 등 6명,제로페이,시책,75000
14,기획예산과,문지선,2022-02-22 11:42,은평수도시락,은평혁신 실행계획 수립 관련 간담회비 지급,은평혁신 실행계획 수립 업무 관계자 5명,카드,시책,47000
15,기획예산과,성유진,2022-02-09 19:55,보리네 생고깃간,상반기 지방재정 신속집행 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,165000
16,기획예산과,조효빈,2022-02-14 12:10,보리네 생고깃간,제안제도 활성화 관련 간담회비 지급(2. 14.),제안업무 담당자 등 5명,제로페이,시책,110000
17,기획예산과,조효빈,2022-02-21 12:00,정,제안제도 활성화 관련 간담회비 지급(2. 21.),제안업무 담당자 등 5명,제로페이,시책,103000
18,기획예산과,최영주,2022-02-25 11:32,은평수도시락,지속가능발전 업무 추진 관련 간담회비 지급,업무 관계자 4명,카드,시책,36000
