,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
1,기획예산과,문정훈,2022-09-01 12:23,백년백세삼계탕,국시비 보조금 예산확보 관련 간담회비 지급,"담당공무원, 사업관계자 등 7명",제로페이,시책,98000
2,기획예산과,이혜진,2022-09-01 20:46,보리네 생고깃간,호우피해 복구 지원 관련 간담회 경비 지급,"관계공무원, 사업관계자 등 8명",제로페이,시책,165000
3,기획예산과,강동영,2022-09-26 11:29,써브웨이은평구청점,2022년 통계업무 추진관계자 간담회비 지급(9. 26.),10명(사업추진관계자),제로페이,시책,70000
4,기획예산과,김효미,2022-09-22 12:10,뚜레쥬르 은평구청점,의정비심의위원회 다과구입비 지급,의정비심의위원회 관계자 등,카드,시책,157200
5,기획예산과,이수연,2022-09-20 12:03,잇츠 파스타(EATS PASTA),자치분권 활성화를 위한 간담회비 지급,자치분권협의회 관계자 등 5명,제로페이,시책,100000
6,기획예산과,이준우,2022-09-16 20:32,일도에서 이도로,구산동 공공복합시설 건립 간담회 경비 지급,"관계공무원, 시설관리공단 직원 등 8명",카드,시책,187000
7,기획예산과,김효미,2022-09-14 12:48,보리네생고깃간,규제개혁 업무추진 간담회비 지급,관계자 5명(담당공무원 및 업무추진 관계자),카드,시책,100000
8,기획예산과,박지영,2022-09-05 19:27,백년백세삼계탕,내일자문단 업무추진 간담회비 지급,"내일자문위원, 관계공무원 등 11명",제로페이,시책,154000
9,기획예산과,이혜진,2022-09-05 19:40,보리네 생고깃간,호우피해 복구 지원 관련 간담회 경비 지급,"관계공무원, 사업관계자 등 8명",제로페이,시책,161000
10,기획예산과,주창현,2022-09-06 15:41,참치애난,정책연구단 연구과제별 관계자 간담회 경비 지급,"정책연구단, 연구관계자 등 7명",제로페이,시책,56000
11,기획예산과,문정훈,2022-09-06 12:45,보리네 생고깃간,하반기 재정집행 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,128000
12,기획예산과,이혜진,2022-09-13 12:10,어가초밥,주요투자사업 보조금 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,113000
13,기획예산과,이수연,2022-09-13 11:44,최부자,서울혁신파크 연계사업 활성화를 위한 간담회 개최 지급,"관계공무원, 혁신파크 관계자 등 7명",제로페이,시책,120000
14,기획예산과,이준우,2022-09-14 12:21,기브앤카페,시설관리공단 경영효율성 제고 관련 간담회 경비 지급,"관계공무원, 시설관리공단 직원 등 4명",카드,시책,20000
15,기획예산과,이준우,2022-09-14 13:00,씨유은평여왕점,서울시 사업예산 확보 업무협의 다과구입비 지급,서울시 사업별 관계부서 등,카드,시책,130000
16,기획예산과,김은표,2022-09-15 12:37,녹파랑,외부기관 평가업무 추진 관계자 간담회비 지급,지속가능발전 업무 추진 관계자 3명,제로페이,시책,27000
17,기획예산과,강동영,2022-09-16 11:47,연희김밥 은평구청점,2022년 통계업무 추진관계자 간담회비 지급(9. 16.),10명(사업추진관계자),제로페이,시책,70000
18,기획예산과,장영일,2022-09-16 12:17,즐거운반딧불이,무료법률상담실 운영 관계자 차담회비 지급,무료법률상담실 담당자 및 관계자 등 5명,제로페이,시책,14300
19,기획예산과,장영일,2022-09-16 12:11,정선할매,무료법률상담실 운영 관계자 간담회비 지급,무료법률상담실 담당자 및 관계자 등 5명,제로페이,시책,72000
20,기획예산과,이준우,2022-09-21 12:38,소백산영주한우,서울시 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",카드,시책,180000
21,기획예산과,성유진,2022-09-22 12:57,진흥마켓,예산작업실 운영 다과류 구입비 지급,예산편성 관계자 등,카드,시책,38020
22,기획예산과,박지영,2022-09-23 14:03,서오릉피자,공약이행평가단(주민배심원) 간식비 지급,"총 50명(주민배심원단 35명, 촉진자 5명, 관계자 10명)",카드,시책,81000
23,기획예산과,박지영,2022-09-23 13:50,진흥마켓,공약이행평가단(주민배심원) 회의 다과비 지급,"총 50명(주민배심원단 35명, 촉진자 5명, 관계자 10명)",카드,시책,232240
24,기획예산과,이수연,2022-09-23 12:11,행복나무 F&B,테스트베드 사업 추진 관련 간담회비 지급,4명(사업추진 관계자),카드,시책,44000
25,기획예산과,조효빈,2022-09-05 13:09,토박이 부대찌개 전문점,2022. 하반기 제안제도 운영 간담회비 지급(9. 5.),제안제도 운영 담당자 등 4명,제로페이,시책,100000
26,기획예산과,문지선,2022-09-06 12:29,뽕잎냉면샤브샤브칼국,주요업무계획 수립 관련 간담회비 지급,주요업무계획 수립 관계자 8명,카드,시책,90000
27,기획예산과,김효미,2022-09-06 21:22,보리네생고깃간,구간부-구의원 간담회비 지급,"관계자 16명(구간부, 구의원, 업무추진관계자)",카드,시책,426000
28,기획예산과,지연주,2022-09-14 09:18,씨유은평구청점,주요정책사업 추진관련 업무협의를 위한 음료 구입비용 지급,주요정책사업 추진 관계자 등,카드,시책,27600
29,기획예산과,조효빈,2022-09-14 11:55,칡산에황제보쌈,2022년 스토리텔링 사업 홍보 관련 간담회비 지급(9. 14.),스토리텔링 담당자 등 4명,제로페이,시책,93000
30,기획예산과,서용원,2022-09-16 12:47,뚜레쥬르 은평구청점,구정 주요사업 추진관련 업무협의를 위한 다과 구입경비 지급,구정 주요사업 추진 관계자 등,카드,시책,70000
31,기획예산과,조효빈,2022-09-19 12:06,원할머니보쌈 녹번점,「민선 8기 창의 아이디어 공모」 간담회비 지급(9. 19.),아이디어제안 담당자 등 4명,제로페이,시책,100000
32,기획예산과,조효빈,2022-09-22 12:04,메밀이 생각날때,창의비전 운영 간담회비 지급(9. 22.),창의비전 신규사업 담당자 등 4명,제로페이,시책,91000
33,기획예산과,이준우,2022-09-23 13:55,애성회관,서울시 사업예산(보조사업 등) 확보 관련 간담회 경비 지급,사업관계자 및 담당공무원 등 10명,카드,시책,160000
34,기획예산과,홍승표,2022-09-26 12:01,소백산영주한우,특별교부금 예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",카드,시책,145000
35,기획예산과,이준우,2022-09-05 12:33,장모님해장국,서울시 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 4명",카드,시책,48000
36,기획예산과,조효빈,2022-09-06 12:09,백년백세삼계탕,2022년 벤치마킹 추진 간담회비 지급(9. 6.),벤치마킹 담당자 등 4명,제로페이,시책,112000
37,기획예산과,강동영,2022-09-07 11:56,이부장 스시,2022년 통계업무 추진관계자 간담회비 지급(9. 7.),5명(사업추진관계자),제로페이,시책,67000
38,기획예산과,김종규,2022-09-14 12:19,메밀이생각날때,지속가능발전 업무 추진 관계자 간담회비 지급,지속가능발전 업무 추진 관계자 4명,카드,시책,36000
