,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
1,기획예산과,이연국,2022-04-07 12:04,저스트텐동 앤 경양카츠,외부기관 공모 추진 관련 간담회비 지급,외부기관 공모 추진 관계자 8명,제로페이,시책,98300
2,기획예산과,이준우,2022-04-14 12:10,백년백세삼계탕,특별교부금 예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 5명",제로페이,시책,73000
3,기획예산과,김효미,2022-04-15 12:18,토종능이버섯백숙,구의회 관계자 간담회비 지급,관계자 9명(담당공무원 및 업무추진 관계자),카드,시책,165000
4,기획예산과,박지영,2022-04-13 12:02,두메골생고기집,구정 주요업무 추진 관련 관계자 간담회비 지급,구정 주요업무 추진 관계자 6명,카드,시책,60000
5,기획예산과,문정훈,2022-04-28 12:25,행복나무 F&B,지방보조금 운영 개선 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",카드,시책,96000
6,기획예산과,장주연,2022-04-13 12:07,토박이 부대찌개 전문점,구-혁신파크 연계사업 간담회비 지급,사업담당자 등 5명,제로페이,시책,116000
7,기획예산과,이준우,2022-04-28 19:00,이화수전통육개장,주요투자사업 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 2명",카드,시책,19000
8,기획예산과,이연국,2022-04-08 11:54,탕옌,외부공모사업 평가 관련 간담회비 지급,외부공모사업 평가 담당자 등 6명,제로페이,시책,52000
9,기획예산과,김지영,2022-04-27 12:27,뽕잎냉면 샤브샤브 칼국수,무료법률상담실 운영 관련 간담회비 지급,무료법률상담 담당자 및 관계직원 8명,제로페이,시책,120000
10,기획예산과,김미윤,2022-04-15 12:24,스시벅스 응암점,은평구 지속가능발전 분야 정책진단 연구 관계자 간담회비 지급,정책연구단 직원 및 관계자 등 4명,제로페이,시책,43600
11,기획예산과,문지선,2022-04-01 12:11,뽕잎냉면 샤브샤브 칼국수,일자리 정책 활성화 관련 간담회비 지급,일자리 정책 활성화 업무 관계자 7명,제로페이,시책,82000
12,기획예산과,조효빈,2022-04-18 12:19,백년백세삼계탕,행정우수사례 벤치마킹 추진 관련 간담회비 지급,벤치마킹 추진 담당자 등 5명,제로페이,시책,86000
13,기획예산과,홍승표,2022-04-05 20:14,행복나무 F&B,기금운용 제도 개선 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",제로페이,시책,146000
14,기획예산과,이연국,2022-04-19 11:53,최부자,주요업무 평가 관련 간담회비 지급,주요업무 평가 관계자 8명,제로페이,시책,85000
15,기획예산과,장주연,2022-04-22 12:09,칡산에황제보쌈,자치분권 활성화를 위한 간담회비 지급,자치분권협의회 관계자 등 7명,제로페이,시책,130000
16,기획예산과,강동영,2022-04-12 12:06,잇츠 파스타(EATS PASTA),2022년 사업체조사 면접 진행요원 간담회비 지급(4. 12.),6명(사업추진 관계자),제로페이,시책,133000
17,기획예산과,강동영,2022-04-27 20:49,탕옌,2022년 통계조사 사업추진관계자 간담회비 지급(4. 27.),5명(사업추진 관계자 및 담당자),제로페이,시책,146000
18,기획예산과,조효빈,2022-04-06 13:11,어가초밥,창의비전 운영 간담회비 지급(4. 6.),창의비전 운영 담당자 등 5명,제로페이,시책,150000
19,기획예산과,민경인,2022-04-22 12:02,설악추어탕한모듬순대,구산동 공공복합시설 건립 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",카드,시책,75000
20,기획예산과,김지영,2022-04-05 12:23,공차 녹번역점,무료법률상담실 운영 관련 간담회비 지급,무료법률상담 담당자 및 관계직원 6명,제로페이,시책,29600
21,기획예산과,성유진,2022-04-20 12:10,구움달,상반기 지방재정 신속집행 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 7명",제로페이,시책,27000
22,기획예산과,문지선,2022-04-29 12:08,이화수 전통육계장 은평구청점,혁신사업 벤치마킹 관련 간담회비 지급,혁신사업 추진 관계자 8명,제로페이,시책,144500
,,,,,,,,,
집행 총 건수,22건,,,,,,,,
집행액 합계,2077000원,,,,,,,,
